boloname  pixelname  wafer  pair  pixel  az   el   polang   poleff   sigma_x   sigma_y   beam_theta 
10.2_53b  10.2_53  10.2  b  53  0.216101  0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_54t  10.2_54  10.2  t  54  0.172881  0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_54b  10.2_54  10.2  b  54  0.172881  0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_55t  10.2_55  10.2  t  55  0.129660  0.074859  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_55b  10.2_55  10.2  b  55  0.129660  0.074859  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_56t  10.2_56  10.2  t  56  0.086440  -0.000000  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_56b  10.2_56  10.2  b  56  0.086440  -0.000000  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_57t  10.2_57  10.2  t  57  0.043220  -0.074859  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_57b  10.2_57  10.2  b  57  0.043220  -0.074859  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_58t  10.2_58  10.2  t  58  0.000000  -0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_58b  10.2_58  10.2  b  58  0.000000  -0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_59t  10.2_59  10.2  t  59  -0.043220  -0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_59b  10.2_59  10.2  b  59  -0.043220  -0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_60t  10.2_60  10.2  t  60  -0.086440  -0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_60b  10.2_60  10.2  b  60  -0.086440  -0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_61t  10.2_61  10.2  t  61  -0.129660  -0.374297  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_61b  10.2_61  10.2  b  61  -0.129660  -0.374297  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_62t  10.2_62  10.2  t  62  0.302541  0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_62b  10.2_62  10.2  b  62  0.302541  0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_63t  10.2_63  10.2  t  63  0.259321  0.149719  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_63b  10.2_63  10.2  b  63  0.259321  0.149719  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_64t  10.2_64  10.2  t  64  0.216101  0.074859  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_64b  10.2_64  10.2  b  64  0.216101  0.074859  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_65t  10.2_65  10.2  t  65  0.172881  -0.000000  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_65b  10.2_65  10.2  b  65  0.172881  -0.000000  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_66t  10.2_66  10.2  t  66  0.129660  -0.074859  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_66b  10.2_66  10.2  b  66  0.129660  -0.074859  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_67t  10.2_67  10.2  t  67  0.086440  -0.149719  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_67b  10.2_67  10.2  b  67  0.086440  -0.149719  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_68t  10.2_68  10.2  t  68  0.043220  -0.224578  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_68b  10.2_68  10.2  b  68  0.043220  -0.224578  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_69t  10.2_69  10.2  t  69  0.000000  -0.299438  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_69b  10.2_69  10.2  b  69  0.000000  -0.299438  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_70t  10.2_70  10.2  t  70  -0.043220  -0.374297  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_70b  10.2_70  10.2  b  70  -0.043220  -0.374297  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_71t  10.2_71  10.2  t  71  0.345761  0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_71b  10.2_71  10.2  b  71  0.345761  0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_72t  10.2_72  10.2  t  72  0.302541  0.074859  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_72b  10.2_72  10.2  b  72  0.302541  0.074859  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_73t  10.2_73  10.2  t  73  0.259321  -0.000000  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_73b  10.2_73  10.2  b  73  0.259321  -0.000000  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_74t  10.2_74  10.2  t  74  0.216101  -0.074860  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_74b  10.2_74  10.2  b  74  0.216101  -0.074860  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_75t  10.2_75  10.2  t  75  0.172881  -0.149719  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_75b  10.2_75  10.2  b  75  0.172881  -0.149719  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_76t  10.2_76  10.2  t  76  0.129660  -0.224578  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_76b  10.2_76  10.2  b  76  0.129660  -0.224578  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_77t  10.2_77  10.2  t  77  0.086440  -0.299438  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_77b  10.2_77  10.2  b  77  0.086440  -0.299438  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_78t  10.2_78  10.2  t  78  0.043220  -0.374297  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_78b  10.2_78  10.2  b  78  0.043220  -0.374297  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_79t  10.2_79  10.2  t  79  0.388981  0.074859  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_79b  10.2_79  10.2  b  79  0.388981  0.074859  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_80t  10.2_80  10.2  t  80  0.345761  -0.000000  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_80b  10.2_80  10.2  b  80  0.345761  -0.000000  150.000000  1.000000  3.500000  3.500000  0.000000
10.2_81t  10.2_81  10.2  t  81  0.302541  -0.074860  15.000257  1.000000  3.500000  3.500000  0.000000
10.2_81b  10.2_81  10.2  b  81  0.302541  -0.074860  105.000009  1.000000  3.500000  3.500000  0.000000
10.2_82t  10.2_82  10.2  t  82  0.259321  -0.149719  59.999790  1.000000  3.500000  3.500000  0.000000
10.2_82b  10.2_82  10.2  b  82  0.259321  -0.149719  150.000000  1.000000  3.500000  3.500000  0.000000
